[03:28:31.695] for size 100 -- {:W=>nil, :N=>nil}
[03:28:31.862] for size 24 -- {:W=>nil, :N=>nil}
[03:28:31.866] for size 23 -- {:W=>nil, :N=>nil}
[03:28:31.871] for size 22 -- {:W=>nil, :N=>nil}
[03:28:31.876] for size 21 -- {:W=>nil, :N=>nil}
[03:28:31.880] for size 20 -- {:W=>nil, :N=>nil}
[03:28:31.885] for size 19 -- {:W=>nil, :N=>nil}
[03:28:31.889] for size 18 -- {:W=>nil, :N=>nil}
[03:28:31.893] for size 17 -- {:W=>nil, :N=>nil}
[03:28:31.932] for size 16 -- {:W=>nil, :N=>nil}
[03:28:31.961] for size 15 -- {:W=>nil, :N=>nil}
[03:28:31.992] for size 14 -- {:W=>nil, :N=>nil}
[03:28:32.033] for size 13 -- {:W=>nil, :N=>nil}
[03:28:32.087] for size 12 -- {:W=>nil, :N=>nil}
[03:28:32.186] for size 11 -- {:W=>nil, :N=>nil}
[03:28:32.337] for size 10 -- {:W=>nil, :N=>nil}
[03:28:32.504] for size 9 -- {:W=>nil, :N=>nil}
[03:28:32.751] for size 8 -- {:W=>nil, :N=>nil}
[03:28:32.889] for size 7 -- {:W=>8, :N=>nil}
[03:28:33.029] for size 6 -- {:W=>8, :N=>nil}
[03:28:33.220] for size 5 -- {:W=>8, :N=>nil}
W: 8
N: 5
